"Select Columns","Select Columns"
"Date","Date"
"Warehouse Name","Warehouse Name"
"File Size (bytes)","File Size (bytes)"
"Download","Download"
"Sku","Sku"
"SKU","SKU"
"Name","Name"
"Qty in Warehouse(s)","Qty in Warehouse(s)"
"MAC (Moving Average Cost)","MAC (Moving Average Cost)"
"Inventory Report - Stock Quantity","Inventory Report - Stock Quantity"
"Inventory Report - Incoming Stock","Inventory Report - Incoming Stock"
"Inventory Report - History","Inventory Report - History"
"Inventory Report - Value of Stock on Hand","Inventory Report - Value of Stock on Hand"
"Inventory Report - Compare by Warehouse","Inventory Report - Compare by Warehouse"
"View","View"
"Sales Report - By Product SKU","Sales Report - By Product SKU"
"Sales Report - By Warehouse","Sales Report - By Warehouse"
"Sales Report - By Payment Method","Sales Report - By Payment Method"
"Sales Report - By Shipping Method","Sales Report - By Shipping Method"
"Sales Report - By Order","Sales Report - By Order"
"Sales Report - By Customer","Sales Report - By Customer"
"Sales Report","Sales Report"
"Reports success","Reports success"
"Retailer Report","Retailer Report"
"Inventory","Inventory"
"Stock Quantity Report","Stock Quantity Report"
"Historical Report","Historical Report"
"The selected backup(s) has been deleted.","The selected backup(s) has been deleted."
"successful","successful"
"failed","failed"
"Failed to delete one or several backups.","Failed to delete one or several backups."
"Incoming Stock Report","Incoming Stock Report"
"Report by Warehouse","Report by Warehouse"
"Stock On-Hand Report","Stock On-Hand Report"
"Sales Reports","Sales Reports"
"Please install Inventory Management & Purchase Management","Please install Inventory Management & Purchase Management"
"The Historical Report has been created.","The Historical Report has been created."
"Select Warehouse","Select Warehouse"
"Please select a warehouse to view Report","Please select a warehouse to view Report"
"All Warehouses","All Warehouses"
"Select type","Select type"
"This report result depends on the updated time. Please refresh regularly for real-time statistics.","This report result depends on the updated time. Please refresh regularly for real-time statistics."
"Show Report","Show Report"
"Dimensions","Dimensions"
"Metrics","Metrics"
"Retailer Reports","Retailer Reports"
"Warehouse","Warehouse"
"Order Status","Order Status"
"Order ID","Order ID"
"Item ID","Item ID"
"Status","Status"
"Actual Sold Qty","Actual Sold Qtyy"
"Potential Sold Qty","Potential Sold Qty"
"COGS","COGS"
"Profit","Profit"
"Tax","Tax"
"Discount","Discount"
"Total Sales","Total Sales"
"Shipping Method","Shipping Method"
"Payment Method","Payment Method"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
"Actual Sold Qty","Actual Sold Qty"
"Potential Sold Qty","Potential Sold Qty"
"Unit Cost","Unit Cost"
"Unit Price","Unit Price"
"Actual COGS","Actual COGS"
"Potential COGS","Potential COGS"
"COGs","COGs"
"Unit Profit","Unit Profit"
"Actual Profit","Actual Profit"
"Potential Profit","Potential Profit"
"Unit Tax","Unit Tax"
"Actual Tax","Actual Tax"
"Potential Tax","Potential Tax"
"Unit Discount","Unit Discount"
"Actual Discount","Actual Discount"
"Potential Discount","Potential Discount"
"Created Time","Created Time"
"Updated Time","Updated Time"
"Action","Action"
"Qty In Warehouse","Qty In Warehouse"
"Inventory Value","Inventory Value"
"Supplier","Supplier"
"Purchase Order","Purchase Order"
"Incoming Stock","Incoming Stock"
"Overdue Incoming Stock","Overdue Incoming Stock"
"Total Cost of Incoming Stock","Total Cost of Incoming Stock"
"Qty to Ship","Qty to Ship"
"Available Qty","Available Qty"
"Qty On Purchase Order","Qty On Purchase Order"
"Shelf Location","Shelf Location"
"Selling Price","Selling Price"
"Potential Revenue","Potential Revenue"
"Potential Profit","Potential Profit"
"Profit Margin (%)","Profit Margin (%)"
"Inventory Report - History Configuration","Inventory Report - History Configuration"
"Sales Report Configuration","Sales Report Configuration"
"The system only saves your historical reports within this period.","The system only saves your historical reports within this period."
"Duration","Duration"
"Auto Update Time","Auto Update Time"
"This action will reset the history data. Do you really want to change this option?","This action will reset the history data. Do you really want to change this option?"