Supplier,Supplier
"Manage Suppliers","Manage Suppliers"
"Manage Pricelist","Manage Pricelist"
"Supplier Management","Supplier Management"
"There is no supplier.","There is no supplier."
"There is no record imported.","There is no record imported."
"The products have been imported.","The products have been imported."
"Invalid file format upload attempt","Invalid file format upload attempt"
"Supplier Management","Supplier Management"
"Supplier does not exist","Supplier does not exist"
"Supplier was successfully saved","Supplier was successfully saved"
"Supplier already exists","Supplier already exists"
"Unable to find supplier to save","Unable to find supplier to save"
"Supplier was successfully deleted","Supplier was successfully deleted"
"Please select supplier(s)","Please select supplier(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Pricelist Management","Pricelist Management"
"The pricelist has been imported.","The pricelist has been imported."
"Please select pricelist records","Please select pricelist records"
"The record was successfully deleted","The record was successfully deleted"
ID,ID
"Supplier Code","Supplier Code"
"Contact Email","Contact Email"
Edit,Edit
XML,XML
"Are you sure?","Are you sure?"
"Change status","Change status"
"Supplier Information","Supplier Information"
"Mailing Address","Mailing Address"
"Product List","Product List"
"Pricelist","Pricelist"
Telephone,Telephone
"Street Address","Street Address"
City,City
Country,Country
"Zip/Postal Code","Zip/Postal Code"
"Supplier information","Supplier information"
"Supplier Name","Supplier Name"
"It can be Commercial And Government Entity (CAGE) code of supplier, or supplier number, or supplier code, etc.","It can be Commercial And Government Entity (CAGE) code of supplier, or supplier number, or supplier code, etc."
"Contact Person","Contact Person"
Image,Image
Price,Price
"Supplier Product SKU","Supplier Product SKU"
Cost,Cost
"Import products","Import products"
"Please choose a CSV file to import products to this supplier. You can download the sample CSV file below.","Please choose a CSV file to import products to this supplier. You can download the sample CSV file below."
"Save And Continue Edit","Save And Continue Edit"
"Edit Supplier '%s","Edit Supplier '%s"
"Add New Supplier","Add New Supplier"
"Mass Remove","Mass Remove"
"Mass Update","Mass Update"
"Import Pricelist","Import Pricelist"
"Cannot edit here. Please edit qty in the Warehouse Stocks section below.","Cannot edit here. Please edit qty in the Warehouse Stocks section below."
"Supplier product sku","Supplier product sku"
"Purchase price","Purchase price"
"Qty in Warehouse","Qty in Warehouse"
"Shelf Location","Shelf Location"
"Regsiter to Warehouse","Regsiter to Warehouse"
Suppliers,Suppliers
"Please choose a CSV file to import pricelist. You can download the sample CSV file below.","Please choose a CSV file to import pricelist. You can download the sample CSV file below."
"Minimum Qty","Minimum Qty"
"Purchase Price","Purchase Price"
"Start Date","Start Date"
"End Date","End Date"
Remove,Remove
"There was an error when saving supplier information.","There was an error when saving supplier information."
"(Please note that the Supplier code must be unique)","(Please note that the Supplier code must be unique)"
"Invalid file structure or empty file uploaded.","Invalid file structure or empty file uploaded."
"Invalid CSV file uploaded.","Invalid CSV file uploaded."